Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2018,1,Neuquén,115897,2006,117903
2018,1,Río Negro,110057,1062,111119
2018,1,Salta,133182,10,133192
2018,1,San Juan,62610,6580,69190
2018,1,San Luis,21096,3000,24096
2018,1,Santa Cruz,33970,4350,38320
2018,1,Santa Fe,679717,3090,682807
2018,1,Santiago Del Estero,82916,20,82936
2018,1,Tierra Del Fuego,31106,5080,36186
2018,1,Tucumán,168026,310,168336
2017,4,Buenos Aires,3171206,1069,3172275
2017,4,Capital Federal,1575418,6906,1582324
2017,4,Catamarca,29548,100,29648
2017,4,Chaco,96603,120,96723
2017,4,Chubut,91012,2428,93440
2017,4,Córdoba,709874,1050,710924
2017,4,Corrientes,93760,110,93870
2017,4,Entre Ríos,193654,490,194144
2017,4,Formosa,32056,0,32056
2017,4,Jujuy,43551,10,43561
2017,4,La Pampa,81675,3960,85635
2017,4,La Rioja,52177,170,52347
2017,4,Mendoza,178661,149,178810
2017,4,Misiones,103895,0,103895
2017,4,Neuquén,114965,2006,116971
2017,4,Río Negro,108702,1062,109764
2017,4,Salta,132811,10,132821
2017,4,San Juan,57965,6590,64555
2017,4,San Luis,14604,3000,17604
2017,4,Santa Cruz,29018,4340,33358
2017,4,Santa Fe,672137,3230,675367
2017,4,Santiago Del Estero,68842,20,68862
2017,4,Tierra Del Fuego,28346,5080,33426
2017,4,Tucumán,162298,340,162638
2017,3,Buenos Aires,3046758,11202,3057960
2017,3,Capital Federal,1563289,707,1563996
2017,3,Catamarca,33467,110,33577
2017,3,Chaco,93747,120,93867
2017,3,Chubut,81067,2477,83544
2017,3,Córdoba,696536,1080,697616
2017,3,Corrientes,92536,120,92656
2017,3,Entre Ríos,185414,500,185914
2017,3,Formosa,32105,0,32105
2017,3,Jujuy,43241,10,43251
2017,3,La Pampa,79280,4100,83380
2017,3,La Rioja,51896,170,52066
2017,3,Mendoza,190958,1533,192491
2017,3,Misiones,100476,0,100476
2017,3,Neuquén,113755,2029,115784
2017,3,Río Negro,106393,1103,107496
2017,3,Salta,132517,10,132527
2017,3,San Juan,61789,6600,68389
2017,3,San Luis,21408,3110,24518
2017,3,Santa Cruz,33222,4680,37902
2017,3,Santa Fe,662086,2560,664646
2017,3,Santiago Del Estero,82792,20,82812
2017,3,Tierra Del Fuego,30883,5830,36713
2017,3,Tucumán,160979,330,161309
2017,2,Buenos Aires,3067430,11201,3078631
2017,2,Capital Federal,1592175,8016,1600191
2017,2,Catamarca,26692,130,26822
2017,2,Chaco,90597,140,90737
2017,2,Chubut,62245,173,62418
2017,2,Córdoba,657505,1330,658835
2017,2,Corrientes,90085,120,90205
2017,2,Entre Ríos,182675,570,183245
2017,2,Formosa,29956,0,29956
2017,2,Jujuy,42656,10,42666
2017,2,La Pampa,72573,4490,77063
2017,2,La Rioja,16271,180,16451
2017,2,Mendoza,169302,1451,170753
2017,2,Misiones,99794,0,99794
2017,2,Neuquén,115321,2112,117433
2017,2,Río Negro,100621,9980,110601
2017,2,Salta,108540,10,108550
2017,2,San Juan,51261,6200,57461
2017,2,San Luis,12992,3150,16142
2017,2,Santa Cruz,26019,3690,29709
2017,2,Santa Fe,566918,3620,570538
2017,2,Santiago Del Estero,33194,20,33214
2017,2,Tierra Del Fuego,31938,6190,38128
2017,2,Tucumán,154374,370,154744
2017,1,Buenos Aires,3178174,11202,3189376
2017,1,Capital Federal,1391030,8016,1399046
2017,1,Catamarca,26304,130,26434
2017,1,Chaco,89036,140,89176
2017,1,Chubut,62166,173,62339
2017,1,Córdoba,641066,1330,642396
2017,1,Corrientes,88596,120,88716
2017,1,Entre Ríos,180296,570,180866
2017,1,Formosa,29705,0,29705
2017,1,Jujuy,43202,10,43212
2017,1,La Pampa,71458,4550,76008
2017,1,La Rioja,16207,180,16387
2017,1,Mendoza,169282,1451,170733
2017,1,Misiones,97619,0,97619
2017,1,Neuquén,113227,2112,115339
2017,1,Río Negro,100288,10,100298
2017,1,Salta,107632,10,107642
2017,1,San Juan,51253,6200,57453
2017,1,San Luis,12992,3150,16142
2017,1,Santa Cruz,26116,3700,29816
2017,1,Santa Fe,562520,3620,566140
2017,1,Santiago Del Estero,34473,20,34493
2017,1,Tierra Del Fuego,31938,6190,38128
2017,1,Tucumán,152734,370,153104
2016,4,Buenos Aires,3131499,11202,3142701
2016,4,Capital Federal,1393443,8016,1401459
2016,4,Catamarca,27021,130,27151
2016,4,Chaco,88833,140,88973
2016,4,Chubut,62035,173,62208
2016,4,Córdoba,636422,1330,637752
2016,4,Corrientes,88084,120,88204
2016,4,Entre Ríos,180188,570,180758
2016,4,Formosa,29513,0,29513
2016,4,Jujuy,42624,10,42634
2016,4,La Pampa,71368,4600,75968
2016,4,La Rioja,16298,180,16478
2016,4,Mendoza,169274,1451,170725
2016,4,Misiones,97390,0,97390
2016,4,Neuquén,111723,2112,113835
2016,4,Río Negro,100020,10,100030
2016,4,Salta,106934,10,106944
2016,4,San Juan,51301,6200,57501
2016,4,San Luis,12992,3150,16142
2016,4,Santa Cruz,26094,3700,29794
2016,4,Santa Fe,561470,3620,565090
2016,4,Santiago Del Estero,35049,20,35069
2016,4,Tierra Del Fuego,31938,6190,38128
2016,4,Tucumán,151615,370,151985
2016,3,Buenos Aires,3075387,11205,3086592
2016,3,Capital Federal,1395053,8051,1403104
2016,3,Catamarca,26957,130,27087
2016,3,Chaco,89216,140,89356
2016,3,Chubut,62222,173,62395
2016,3,Córdoba,642458,1330,643788
2016,3,Corrientes,88328,120,88448
2016,3,Entre Ríos,181092,570,181662
2016,3,Formosa,27716,0,27716
2016,3,Jujuy,42537,10,42547
2016,3,La Pampa,69903,4610,74513
2016,3,La Rioja,16912,180,17092
2016,3,Mendoza,169174,145,169319
2016,3,Misiones,97997,0,97997
2016,3,Neuquén,110491,2112,112603
2016,3,Río Negro,100024,1002,101026
2016,3,Salta,107790,10,107800
2016,3,San Juan,51348,6200,57548
2016,3,San Luis,12978,3150,16128
2016,3,Santa Cruz,25886,3710,29596
2016,3,Santa Fe,566625,3860,570485
2016,3,Santiago Del Estero,35658,20,35678
2016,3,Tierra Del Fuego,31306,6190,37496
2016,3,Tucumán,151282,370,151652
2016,2,Buenos Aires,3032776,12515,3045291
2016,2,Capital Federal,1384824,976,1385800
2016,2,Catamarca,26543,130,26673
2016,2,Chaco,88235,160,88395
2016,2,Chubut,62116,174,62290
2016,2,Córdoba,634680,2340,637020
2016,2,Corrientes,86932,240,87172
2016,2,Entre Ríos,178194,1790,179984
2016,2,Formosa,28801,10,28811
2016,2,Jujuy,41187,20,41207
2016,2,La Pampa,68403,4850,73253
2016,2,La Rioja,16718,180,16898
2016,2,Mendoza,169274,155,169429
2016,2,Misiones,95808,70,95878
2016,2,Neuquén,108224,2291,110515
2016,2,Río Negro,99631,1073,100704
2016,2,Salta,104929,30,104959
2016,2,San Juan,51392,6210,57602
2016,2,San Luis,12939,3170,16109
2016,2,Santa Cruz,25797,3560,29357
2016,2,Santa Fe,563867,6070,569937
2016,2,Santiago Del Estero,36958,30,36988
2016,2,Tierra Del Fuego,30740,6190,36930
2016,2,Tucumán,148636,410,149046
2016,1,Buenos Aires,2929903,12612,2942515
2016,1,Capital Federal,1328079,9817,1337896
2016,1,Catamarca,26376,130,26506
2016,1,Chaco,86635,160,86795
2016,1,Chubut,62060,174,62234
2016,1,Córdoba,609692,2340,612032
2016,1,Corrientes,85510,260,85770
2016,1,Entre Ríos,174634,1790,176424
2016,1,Formosa,28313,10,28323
2016,1,Jujuy,40287,20,40307
2016,1,La Pampa,65442,4870,70312
2016,1,La Rioja,16673,180,16853
2016,1,Mendoza,169257,1553,170810
2016,1,Misiones,92951,70,93021
2016,1,Neuquén,101969,2292,104261
2016,1,Río Negro,98745,1077,99822
2016,1,Salta,102423,30,102453
2016,1,San Juan,51373,6210,57583
2016,1,San Luis,12915,3170,16085
2016,1,Santa Cruz,25931,3560,29491
2016,1,Santa Fe,551378,6180,557558
2016,1,Santiago Del Estero,37695,30,37725
2016,1,Tierra Del Fuego,29867,6190,36057
2016,1,Tucumán,146596,410,147006
2015,4,Buenos Aires,2946743,12642,2959385
2015,4,Capital Federal,1360381,9845,1370226
2015,4,Catamarca,26459,130,26589
2015,4,Chaco,86537,160,86697
2015,4,Chubut,62279,174,62453
2015,4,Córdoba,625835,2350,628185
2015,4,Corrientes,85409,260,85669
2015,4,Entre Ríos,173957,1800,175757
2015,4,Formosa,28088,10,28098
2015,4,Jujuy,39922,20,39942
2015,4,La Pampa,66054,3120,69174
2015,4,La Rioja,16914,180,17094
2015,4,Mendoza,169251,1556,170807
2015,4,Misiones,92846,70,92916
2015,4,Neuquén,105122,2294,107416
2015,4,Río Negro,98655,1067,99722
2015,4,Salta,101917,30,101947
